Name Hecate II
ShortName Hecate
Ammo 50BMG7
Icon HecateII
Colour 255 255 255
ReloadTime 60
Recoil 15
Damage 2
Accuracy 2
ShootDelay 14
ShootSound M21Shoot
ReloadSound BARReload
Mode SemiAuto
BulletSpeed 10
Scope mwm21
ZoomLevel 10.0
FOVZoomLevel 1.0
Model dunk.dunkhecate
ModelScale 0.1
Texture Hecate2
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description .50 BMG
