Name FAL 50.64 PARA
ShortName FAL5064PARA
Ammo 762NATO20
Icon FAL5063PARA
Colour 255 255 255
ReloadTime 33
Recoil 4
Damage 1
Accuracy 4
RoundsPerMin 700
ShootSound M14Shoot
ReloadSound MP44Reload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.fal
ModelScale 0.09
Texture Skin_Gun_fal
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 7.62x51mm NATO
