Name RPK-16
ShortName RPK16
Ammo 545Warsaw45
Ammo 545Warsaw80
Description 5.45x39mm WTO
Icon RPK16
Colour 255 255 255
ReloadTime 54
Recoil 2
Damage 1
Accuracy 2
RoundsPerMin 700
ShootSound AK74Shoot
ReloadSound MG42Reload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.rpk74
ModelScale 0.07
Texture Skin_Gun_rpk16
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
