Name SCAR-H
ShortName SCARH
Ammo 762NATO20
Description 7.62x51mm NATO
Icon FNSCAR
Colour 255 255 255
ReloadTime 40
Recoil 4
Damage 1
Accuracy 3
RoundsPerMin 600
ShootSound FNSCARShoot
ReloadSound MP44Reload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.scarh
ModelScale 0.06
Texture Skin_Gun_scarh
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
