Name Stinger RMP Block 1
ShortName StingerRMPBlock1
Ammo StingerMissile
Icon Stinger
Colour 255 255 255
ReloadTime 75
Recoil 15
Damage 1
Accuracy 6
ShootDelay 1
ShootSound RPGShoot
ReloadSound BazookaReload
Mode SemiAuto
BulletSpeed 1.0
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mw.Stinger
Texture Stinger
ModelScale 1.0
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description Stinger Missile
