Name HK 12
ShortName HK12
Ammo 762Warsaw20
Ammo 762Warsaw30
Ammo 762Warsaw45
Icon HK11
Colour 255 255 255
ReloadTime 62
Recoil 3
Damage 1
Accuracy 4
RoundsPerMin 800
ShootSound AK47Shoot
ReloadSound ThompsonReload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.g3
ModelScale 0.12
Texture Skin_Gun_g3
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 7.62x39mm WTO
