Name DSR-1
ShortName DSR1
Ammo 338Lapua5
Ammo 338Lapua10
Icon DSR1
Colour 255 255 255
ReloadTime 70
Recoil 15
Damage 2
Accuracy 2
ShootDelay 10
ShootSound M21Shoot
ReloadSound BARReload
Mode SemiAuto
BulletSpeed 10
Scope mwm21
ZoomLevel 10.0
FOVZoomLevel 1.0
Model mpack.dsr
ModelScale 0.09
Texture Skin_Gun_dsr
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description .338 Lapua
