Name AK-50
ShortName AK50
Ammo 50BMG10HE
Ammo 50BMG10
Icon AK50
Colour 255 255 255
ReloadTime 35
Recoil 9
Damage 1
Accuracy 4
RoundsPerMin 300
ShootSound BarrettShoot
ReloadSound MP44Reload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.ak12
ModelScale 0.07
Texture Skin_Gun_ak12
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description .50 BMG
