Name AK-205
ShortName AK205
Ammo 545Warsaw30
Icon AK205
Colour 255 255 255
ReloadTime 40
Recoil 2
Damage 1
Accuracy 4
RoundsPerMin 750
ShootSound AK74Shoot
ReloadSound MP40Reload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.aks74u
ModelScale 0.07
Texture AK205
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 5.45x39mm WTO
