Name AK-201
ShortName AK201
Ammo 556NATO30
Icon AK201
Colour 255 255 255
ReloadTime 40
Recoil 1
Damage 1
Accuracy 2
RoundsPerMin 750
ShootSound AK47Shoot
ReloadSound MP44Reload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.ak103
ModelScale 0.18
Texture skin_gun_ak103
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 5.56x45mm NATO
