Name AK-204
ShortName AK204
Ammo 762Warsaw30
Icon AK204
Colour 255 255 255
ReloadTime 40
Recoil 4
Damage 1
Accuracy 3
RoundsPerMin 750
ShootSound AK74Shoot
ReloadSound MP40Reload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.aks74u
ModelScale 0.07
Texture AK204
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 7.62x39mm WTO
