Name RPK-74
ShortName RPK74
Ammo 545Warsaw45
Description 5.45x39mm WTO
Icon RPK74
Colour 255 255 255
ReloadTime 60
Recoil 4
Damage 1
Accuracy 3
RoundsPerMin 600
ShootSound AK47Shoot
ReloadSound MG42Reload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.rpk74
ModelScale 0.07
Texture Skin_Gun_rpk74
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
