Name AK-108
ShortName AK108
Ammo 556NATO30
Description 5.56x45mm NATO
Icon AK108
Colour 255 255 255
ReloadTime 40
Recoil 1
Damage 1
Accuracy 4
RoundsPerMin 850
ShootSound AK47Shoot
ReloadSound MP44Reload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.ak74
ModelScale 0.07
Texture AK108
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
