Name RPG-7V1
ShortName RPG7V1
Ammo RPGRocketHE
Ammo RPGRocketAT
Icon RPG7V
Colour 255 255 255
ReloadTime 90
Recoil 32
Damage 1
Accuracy 2
ShootDelay 1
ShootSound RPGShoot
ReloadSound BazookaReload
Mode SemiAuto
BulletSpeed 2.5
Scope pka
ZoomLevel 3
FOVZoomLevel 1.25
Model mpack.rpg7
ModelScale 0.14
Texture Skin_Gun_rpg7
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
Description RPG Rocket
ShowDamage true
ShowReloadTime true
