Name MSG-90
ShortName MSG90
Ammo 762NATO10
Ammo 762NATO20
Description 7.62x51mm NATO
ShowDamage true
ShowReloadTime true
Icon MSG90
Colour 255 255 255
ReloadTime 60
Recoil 3
Damage 1
Accuracy 1
ShootDelay 8
ShootSound M14Shoot
ReloadSound ThompsonReload
Mode SemiAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.g3
ModelScale 0.12
Texture Skin_Gun_msg90
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
