Name PU-21
ShortName PU21
Ammo 545Warsaw250
Ammo 545Warsaw500
Ammo 545Warsaw100
Description 5.45x39mm WTO
Icon PU21
Colour 255 255 255
ReloadTime 100
Recoil 2
Damage 1
Accuracy 4
RoundsPerMin 600
ShootSound RPDShoot
ReloadSound BrowningReload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.pkp
ModelScale 0.36
Texture Skin_Gun_pkp
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
