Name TRG-22
ShortName TRG22
Ammo 762NATO10
Description 7.62x51mm NATO
Icon TRG22
Colour 255 255 255
ReloadTime 80
Recoil 25
Damage 2
Accuracy 1
ShootDelay 20
ShootSound R700Shoot
ReloadSound SpringfieldReload
Mode SemiAuto
BulletSpeed 10
Scope mwr700
ZoomLevel 10.0
FOVZoomLevel 1.0
Model mw.R700
Texture TRG42
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
