Name De Lisle Carbine
ShortName DeLisle
Ammo 45ACP1
Description .45 ACP
LoadIntoGun 11
ShowDamage true
ShowReloadTime true
Icon DeLisleCarbine
Colour 255 255 255
ReloadTime 80
Recoil 4
Damage 1
Accuracy 4
ShootDelay 6
ShootSound None
ReloadSound leeEnfieldReload
Mode SemiAuto
BulletSpeed 10
Scope None
Model ww2.Leeenfield
Texture LeeEnfield
ModelScale 0.7
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
