Name SVD-38
ShortName SVD38
Ammo 762MMR10
Description 7.62x54mmR
ShowDamage true
ShowReloadTime true
Icon SVD38
Colour 255 255 255
ReloadTime 50
Recoil 6
Damage 2
Accuracy 4
ShootDelay 2
ShootSound MosinNagantShoot
ReloadSound kar98kReload
Mode SemiAuto
BulletSpeed 10
Scope wwiim9130sniper
ZoomLevel 4
Model W44.SVT40
Texture SkinSVT40
ModelScale 0.25
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
