Name Browning M1903
ShortName BrowningM1903
Ammo 32ACP12
Description .32 ACP
ShowDamage true
ShowReloadTime true
Icon M1911
Colour 255 255 255
ReloadTime 40
Recoil 3
Damage 1.5
Accuracy 6
ShootDelay 2
ShootSound coltShoot
ReloadSound coltReload
Mode SemiAuto
OneHanded true
BulletSpeed 10.0
Scope None
Model dunk.1900
ModelScale 1
Texture masterskin
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
