Name Springfield M1903A4 Sniper Rifle
ShortName M1903A4Sniper
Ammo 30Cal1
LoadIntoGun 5
Icon SpringfieldSniper
Description .30-06
ShowDamage true
ShowReloadTime true
Colour 255 255 255
ReloadTime 35
Recoil 20
Damage 2
Accuracy 1
ShootDelay 18
ShootSound springfieldShoot
ReloadSound springfieldReload
Mode SemiAuto
BulletSpeed 10
Scope wwiispringfieldsniper
ZoomLevel 6
Model ww2.SpringfieldSniper
Texture SpringfieldSniper
ModelScale 0.35
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
