Name Vektor SP1
ShortName VektorSP1
Ammo 919NATO15
Icon WaltherP38
Colour 255 255 255
ReloadTime 40
Recoil 4
Damage 1.5
Accuracy 4
ShootDelay 2
ShootSound lugerShoot
ReloadSound lugerReload
Mode SemiAuto
BulletSpeed 10
OneHanded true
Scope None
Model NewAge.P38
ModelScale 0.8
Texture SkinP38
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
Description 9x19mm Parabellum
ShowDamage true
ShowReloadTime true
