Name Carcano Modello 1891 Sniper
ShortName CarcanoM1891Sniper
Ammo 65Carcano1
Description 6.5x52mm Carcano
ShowDamage true
ShowReloadTime true
LoadIntoGun 6
Icon CarcanoSniper
Colour 255 255 255
ReloadTime 60
Recoil 32
Damage 2
Accuracy 3
ShootDelay 30
ShootSound kar98kSniperShoot
ReloadSound kar98kSniperReload
Mode SemiAuto
BulletSpeed 10
Scope wwiikar98ksniper
ZoomLevel 8
Model moneybuster.CarcanoSniper
Texture CarcanoSniper
ModelScale 0.20
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
